,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
6258,20204603,연애 : 엄마친구 3  ,,2019,20201111,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최찬호'}],(주)영화사가을,2020
6259,20207366,여친 엄마 4,,2020,20201111,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최찬호'}],(주)영화사가을,2020
6260,20200204,커플교환섹스,,2020,20201110,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '한대위'}],(주)영화사가을,2020
6261,20208583,옆집 누나 : 한번 줄까?,,2020,20201110,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '한대위'}],(주)영화사가을,2020
6262,20205375,여자 하숙집 4,,2020,20201110,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '구재은'}],(주)영화사가을,2020
6263,20200197,여자 동창 : 우리 지금 할까?,,2020,20201110,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '한대위'}],(주)영화사가을,2020
6264,20201650,형수에 반하다,,2020,20201109,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '최성은'}],(주)영화사히트,2020
6265,20201372,산부인과 남의사들,,2020,20201106,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '조태호'}],(주)영화사가을,2020
6267,20203630,슬기로운 불륜생활,,2020,20201110,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '전지원'}],(주)메이크아트,2020
6268,20203629,별에서 온 순임,,2020,20201110,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,[{'peopleNm': '전지원'}],(주)메이크아트,2020
